#LUME VERSION, 0.54
#663 point's captured data set in LUME at: 1/11/2020 : 4:12:13 pm
x,y,z
10931,14316,-384.28
10998,14243,-352.31
10347,13666,-345.33
10997,14384,-335.06
10818,14926,-306.09
10448,13693,-148.89
10812,15171,-254.07
10621,13847,-254.96
10782,15174,-292.06
11009,14418,-316.56
10372,13690,-201.3
11007,14496,-396.82
10815,15081,-341.4
10855,14027,-320.44
10864,14776,-360.9
10534,13713,-211.89
10826,14984,-398.96
11060,14385,-331.22
11037,14402,-314.33
11029,14396,-312.15
10969,14361,-355.06
10900,14064,-358.58
10934,14609,-319
10806,15123,-217.11
10829,13944,-270.62
10960,14483,-386.43
10950,14217,-340.57
10822,15078,-286.27
10816,15110,-277.73
10753,15171,-361.6
10864,14016,-377.9
10951,14667,-258.89
10832,14804,-129.65
10971,14862,-323.3
10815,15122,-279.62
10952,14288,-310.32
10913,14510,-249.33
10956,14401,-304.81
10935,14529,-286.75
10849,15017,-285.6
10818,15004,-248.75
10661,13866,-260.17
10815,14048,-312.5
10838,14139,-304.23
10929,14844,-198
10970,14837,-307.22
10945,14310,-340.61
10933,14876,-312.88
10684,13854,-293.07
10769,13893,-359.97
10951,14606,-339.1
10944,14532,-278.18
10907,14559,-315.84
10935,14559,-247.44
10899,14536,-304.48
11054,14192,-264.43
10783,15134,-190.84
11005,14496,-300.72
10961,14952,-411.25
10819,13989,-280.42
10610,13793,-349.31
10821,14035,-337.22
10778,15128,-271.1
10904,14083,-269.55
10804,15099,-183.87
10931,14554,-316.1
10832,15050,-248.73
10878,14980,-229.42
10741,13841,-243.62
10737,13801,-298.46
10747,13832,-308.56
10912,14838,-322.49
10869,14019,-269.42
10693,13915,-268.93
10670,13914,-292.06
10649,13920,-219.03
10667,13913,-236.96
10784,13983,-232.45
10460,13714,-230.06
11013,14518,-159.43
10869,14831,-314.36
10837,15109,-193.4
11107,14506,-423.47
11041,14606,-286.3
10738,15170,-349.21
10737,13919,-334.54
10897,15132,-172.17
10862,15156,-200.56
10876,15106,-262.2
10819,15111,-284.17
10866,15122,-261.18
10832,15158,-261.61
11022,14392,-320.66
10871,15119,-228.11
10759,13986,-289.18
10836,15043,-285.56
10824,15026,-285.36
10749,15116,-326.22
11010,14458,-337.42
11030,14462,-326.03
10999,14500,-302.53
11040,14351,-309.42
10980,14427,-330.12
10954,14310,-364.76
10849,15128,-236.63
10868,15147,-285.02
10691,15217,-320
10965,14383,-372.45
10967,14404,-335
10974,14382,-353.57
10972,14372,-330.12
10943,14378,-347.06
10974,14372,-349.43
10981,14378,-313.11
10964,14394,-312.74
10935,14399,-314.61
10988,14388,-339.02
10958,14361,-340.03
10968,14380,-335.13
10975,14377,-305.13
10981,14398,-323.78
10961,14406,-344.02
10974,14406,-356.88
10959,14411,-338.21
10997,14377,-302.9
10986,14381,-387.61
10985,14385,-348.17
11043,14393,-285.69
11020,14438,-292.01
10750,15074,-210.62
10848,13910,-276.98
10766,13945,-157.03
10950,14805,-356.62
10909,14840,-383.52
10890,14814,-346.03
10940,14798,-393.16
10851,15043,-286.95
10853,15081,-263.14
10902,14402,-339.52
11004,14601,-290.29
10977,14606,-272.75
10730,13801,-355.2
10943,14841,-341.23
10806,15046,-284.61
10619,13791,-299.13
10751,15123,-233.54
10937,14689,-274.43
11015,14300,-269.44
10882,14014,-223.62
11012,14339,-292.13
