x,y,z
22462,10809,-415.05
23390,11039,-16.873
21201,10744,-102.84
23166,11115,264.45
23495,11044,-205.72
22843,11208,-72.087
21329,10680,-406.97
22935,11201,-146.3
23245,11089,287.22
22501,10778,-387.55
24897,10752,-405.33
24903,10747,-402.21
23999,10997,-418.71
22766,10828,-379.58
23237,11078,-59.25
22940,10990,-276.72
23586,11005,-146.43
23590,10992,-190.67
23611,11018,-167.54
23607,11015,-268.48
21104,10688,186.63
21468,10557,-403.08
22682,10792,-452.99
22948,11255,-171.03
23364,11006,-447.99
23086,10829,-6.8974
23023,10796,-79.77
21229,10608,-444.15
24830,10728,-244.64
21303,10510,-365.03
21132,10701,125.7
21119,10688,144.48
23615,11068,-289.73
23499,11085,-242.13
23542,11101,-330.5
23473,11104,-249.27
21678,10854,-361.62
22119,10699,-398.1
21092,10712,-5.6419
21614,10867,208
23476,11096,-281.82
22887,11252,-151.33
22909,11251,-150.28
21107,10583,-262.83
22887,11243,-152.62
21010,10381,216.3
21367,10459,-367.88
21338,10464,-366.25
22376,10702,209.16
22460,10720,151.92
22392,10719,217.78
22394,10708,170.75
22345,10697,196.55
22406,10687,173.02
22406,10695,170.32
22259,10759,-159.24
20924,10454,-7.1464
22311,11013,-393.4
22401,10745,-236.12
22160,10876,228.66
21160,10637,-407.03
22667,11247,-117.42
21062,10692,38.744
21025,10599,-234.19
21063,10440,258.75
21433,10442,-408.25
22641,11236,-96.711
21041,10408,-206.46
20945,10429,-38.259
22112,11076,-329.58
21937,10525,-263.38
22005,10575,-400.39
23917,11015,259
23898,10966,230.69
22060,10659,241.81
21556,10650,-327.81
22593,10845,279.04
21580,10813,-303.33
21942,11063,-206.75
21972,11081,-290.88
20901,10502,-75.837
20813,10139,-290.82
22602,10684,168.97
20830,10148,-280.99
22471,11084,242.65
23546,11091,-322.98
22270,11157,50.789
23525,11079,-282.1
23519,11102,-270.43
23522,11095,-259.96
23523,11055,-288.02
21166,10672,21.135
21153,10717,160.26
21127,10641,-362.39
21700,10524,-337.39
21511,10933,-161.26
20851,10368,-21.964
21453,10405,31.638
22232,10999,276.33
21081,10560,-125.46
21234,10588,-418.11
21274,10588,-479.01
21114,10445,-296.55
21200,10606,309.78
21125,10562,153.04
21109,10677,20.248
22306,11021,280.71
22755,10765,63.827
22599,10726,155.38
22993,10795,83.743
22538,10918,-361.06
21041,10253,-33.337
21596,10474,205.14
21636,10570,-298.12
21673,10523,-368.54
21634,10541,-370.87
21672,10541,-362.61
22937,11194,86.619
23224,11048,-108.33
21405,10725,190.49
22844,10721,85.913
21556,10512,-377.74
21186,10644,189.01
22599,10723,73.59
23176,11054,57.292
21429,10356,175.47
21776,10444,-56.992
21767,10452,-274.26
21753,10460,-322.2
21708,10461,-279.21
22729,11137,-20.979
23640,11073,-305.39
20986,10630,-84.72
23596,11025,-232.74
23632,11020,-248.35
23620,11058,-295.06
21752,10490,-313.66
21607,10510,-341.5
21481,10606,-442.26
21706,10724,-432.79
24560,10865,-338.44
21284,10691,176.87
24290,11033,-385.04
21242,10540,217.88
24586,10921,-403.98
21134,10460,223.57
21190,10473,244.31
23624,11041,-253.42
22503,10660,-216.86
25496,10654,-365.4
23633,11038,-287.5
23618,11036,-219.89
25423,10595,-377.98
