#LUME VERSION, 0.54
#2848 point's captured data set in LUME at: 1/11/2020 : 4:19:13 pm
frame,x,y,z,int
1,20669,3512.6,-104.1,1398.4
2,20655,3529.9,-107.38,522.67
10,20657,3778.9,-240.1,1172.2
11,20617,3782.8,-202.66,2654.3
48,20175,5149,-65.18,1010.3
64,19177,7577.3,63.103,676.55
65,19161,7611.7,52.531,9412.4
69,19343,7104.5,150.55,3699.9
70,20515,3752.1,-393.07,1794
71,20435,3774.1,-194.51,2348.8
73,20438,3786.3,-367.07,1781.2
77,19301,7351.2,126.03,4112.8
78,20432,3804.6,-354.82,2437.8
79,20225,4552.4,-38.068,448.8
79,20426,3766.5,-279.14,1624.6
80,19296,7400.7,10.895,439.87
80,20204,4525.8,-10.205,1765.7
81,20460,3783.3,-253.39,1132
83,19090,7858.9,113.42,1592.6
83,19090,7844.9,83.163,2997.2
85,19069,7843.6,37.872,806.2
92,20226,4552.9,-130.67,995.18
97,19538,6928.1,89.448,1301.2
105,20619,3770.6,-136.12,694.77
105,20061,5201.6,15.341,3184.1
140,18066,10302,-92.566,629.26
159,20300,4691.2,-191.97,1287.3
169,18664,8742.2,67.575,2680.7
190,19091,7989.5,67.464,6818.5
191,19777,6033.3,219.38,2533.4
192,19748,6099.7,139.02,2672.1
194,18254,9713.9,42.819,5757.7
195,18278,9742.7,17.83,2740.2
205,19638,6339.6,148.16,3373.5
214,19185,7558.1,63.867,836.66
229,19685,6238.3,105.96,2460.9
237,18016,10088,-9.5117,1967.5
237,19690,6281,108.6,2287.9
242,19485,6841.6,152.76,1616.1
258,19404,7066.7,149.44,5025.1
272,20051,5237.6,29.302,1908.7
273,20056,5218.3,46.64,4876.4
320,20227,4692.6,-53.677,7775.7
324,20248,4694,-81.993,871.7
328,20548,3890.1,-196.54,2736.3
334,18438,9237.6,39.631,890.31
335,18428,9219.7,17.229,788.97
338,17889,10742,-145.47,2552
339,17917,10757,-138.22,2558.2
340,19373,7182.7,95.174,11997
341,20635,3787,-343.17,692.99
343,18795,8545.9,79.003,2085.7
347,19813,5913.1,109.51,5648.6
349,18467,9096.6,63.761,4172.1
350,19791,5944.5,106.56,558.74
358,20714,3502.3,-289,972.83
358,19909,5755.4,77.864,5741.2
359,20667,3498.1,-188.86,953.3
360,20463,4069.5,-171.22,4384.3
361,20409,4054.8,-166.06,1386.4
362,19906,5748.2,109.57,3476.9
364,18688,8799.7,132.68,1372.8
364,19908,5765.2,83.828,2898.8
365,18740,8633.9,83.236,2106.2
369,18386,9363,90.969,921.9
386,19414,6919.9,73.154,4621.4
390,19407,6927.5,61.267,4775
391,19407,6963.5,92.277,3165
392,20592,3708.6,-434.82,1156.2
393,20589,3732.9,-315.58,1313.8
394,19407,6917.6,90.689,2540.3
395,19408,6932.5,97.592,6620.6
399,19409,6940.5,110.72,2348.8
400,19397,7102.2,182.92,1681.2
401,19397,7040.2,179.19,14702
404,19401,6933.6,88.474,4127.9
406,19420,6939.8,85.143,8005.4
410,19406,6932.5,77.451,8266.7
423,19400,6939.1,76.937,7065.5
425,18808,8558.9,191.4,2596.1
425,18807,8557.6,181.46,2540.7
427,19404,6902,97.703,2120.1
428,19401,6923.8,96.908,2919.4
443,18834,8570.8,120.86,522.23
449,18441,9195.2,74.049,1264.9
457,20243,4773.5,-14.27,4067.7
459,20248,4757.9,-38.983,3564.7
482,18041,10114,-40.414,1523.8
504,19310,7332,52.947,444.55
505,19323,7321.4,99.936,6611.4
539,20058,5323.4,9.0335,6443.7
543,20002,5367.9,-12.746,1342.2
553,18246,9724.5,42.207,3012.4
554,18267,9728.8,66.711,1170
557,18258,9731.5,25.257,4780.3
558,19111,7961.2,131.96,503.57
561,18257,9706.2,-41.069,1302.5
562,18270,9730.4,74.12,1326.6
563,18239,9677.1,37.289,2819.9
575,19394,6993.4,113.54,3286
576,19384,6966.5,85.803,5924.5
579,18099,10256,-126.65,1953.3
580,18041,10211,-182.74,2513
580,19383,6958.4,33.725,1151.2
581,18855,8432.7,190.47,1155.5
582,18885,8321.2,159.51,4460.6
583,18919,8241.8,84.724,4168.7
599,18798,8379.3,165.73,874.51
600,18827,8391.8,118.57,1550.7
601,18618,8782,16.569,662.05
602,20130,5190.3,21.437,1839.6
603,20148,5208.5,-43.359,1982.6
607,18289,9516.9,46.588,768.69
608,18283,9542.7,55.256,758.9
612,19027,8128.1,134.72,1869.3
612,18057,10236,-123.39,2554.6
613,19014,8138.2,75.274,1543
642,17929,10647,-53.395,6436.7
643,19911,5716.9,81.316,2824
645,19895,5751.1,60.552,683.68
664,18147,10084,-109.26,3675.1
665,18029,10055,17.296,1640.1
671,20133,5011.5,-68.04,6244.2
675,18243,9631.6,49.541,3233.3
675,20132,5018,-36.253,3150.5
676,18956,8274.5,38.191,2742.7
676,18957,8268.3,21.942,3933.7
683,19627,6465.7,101.34,2189.8
685,19620,6493.1,104.15,1864.8
686,19638,6499.6,117.01,1895
693,19459,6943.7,33.661,457.08
730,19381,7171.9,84.867,495.83
736,18965,8150.5,128.74,397.53
737,18961,8124.2,119.65,6552.9
739,18960,8106.3,81.287,2425.9
746,18758,8342.1,18.198,3031.8
748,18015,10050,-15.981,5780.4
753,19737,6222.7,137.09,1150.2
764,20728,3525,-178.36,2922.7
766,20727,3500.4,-180.66,1104.7
768,20734,3514.7,-284.96,2425.8
771,18433,9313.8,90.439,1078.1
772,18455,9303.8,56.063,2658.2
792,20167,5178.1,48.181,2449.4
806,18080,10039,13.983,2086.6
807,18063,10062,0.71863,2171.5
809,18091,10030,47.288,306.68
813,20208,5085.1,-36.882,1312.4
823,18072,10226,-121.45,1087
835,18793,8496.1,107.27,491.54
836,18806,8475.9,55.775,2139
839,18289,9679.7,50.509,1989.7
849,17978,10291,-7.191,3655
867,18747,8559.3,81.501,1319.3
870,18766,8566.3,46.422,822.97
873,18759,8547.4,73.615,8956.8
877,18756,8560,111.96,4675
879,18743,8521.3,45.213,772.07
